Id,SalePrice
1461,98023.2224290888
1462,172149.6332967681
1463,184091.01213777633
1464,187574.69261972574
1465,206828.0209294785
1466,177815.26908881354
1467,174763.45051871278
1468,164678.09684164912
1469,192319.33259160267
1470,119106.20980206259
1471,174665.2659727518
1472,98973.90351097552
1473,100531.46263655189
1474,147984.8677641333
1475,128191.6021746499
1476,368197.436146914
1477,259135.73973130118
1478,306732.68453072157
1479,273880.4553395826
1480,455744.31840021163
1481,313794.62696836796
1482,207279.9555977801
1483,172681.80182364027
1484,166811.13689990874
1485,172431.6179627312
1486,192391.77655246577
1487,358852.6527465251
1488,238717.5474151183
1489,206276.4168260539
1490,222914.61728730958
1491,192536.51462351286
1492,97119.30651202436
1493,193296.8998442123
1494,294463.91884607886
1495,296990.340088041
1496,227910.10509327982
1497,179074.8182030622
1498,163287.27234736088
1499,159682.14667831222
1500,151231.8603780378
1501,171924.58399831117
1502,147925.17146729716
1503,324720.75581709127
1504,231655.1376838386
1505,219208.2399752452
1506,184954.99834137099
1507,237924.71680615298
1508,203799.47530470716
1509,161246.80116366083
1510,144302.10646421104
1511,149942.77243723592
1512,166641.63681673555
1513,153723.03868157347
1514,167712.20020300263
1515,188139.7558391484
1516,161267.9323702863
1517,163934.00014485148
1518,128936.40516805294
1519,218963.63856581252
1520,129199.49995505041
1521,135795.361297877
1522,174967.05723469122
1523,108305.94840731156
1524,120591.4613975624
1525,122597.11285184331
1526,121612.14957455416
1527,108093.70936116525
1528,130021.91220522732
1529,153065.39792695423
1530,187318.8049624044
1531,121711.34472290894
1532,101930.33131996535
1533,143513.1700855583
1534,123898.79976600614
1535,151071.6189006625
1536,110419.03838667761
1537,78383.96331303148
1538,174603.54834280923
1539,214727.99455232316
1540,101144.37649521325
1541,147365.40535859752
1542,152228.48631695154
1543,204310.05042121062
1544,78741.46805497295
1545,114948.12947578817
1546,133397.3174956439
1547,139580.95658257316
1548,141637.46965372606
1549,122174.85712809044
1550,140516.7711611155
1551,114563.64940983435
1552,146521.62967205796
1553,153319.87860240493
1554,112974.38497345657
1555,172663.0768920451
1556,87739.35949320561
1557,130205.61122928157
1558,101315.91850198049
1559,89583.13704571442
1560,134492.5037742333
1561,147701.44428187096
1562,131527.58677767077
1563,124083.07812855228
1564,156240.74371849513
1565,154093.13600302846
1566,224250.88142398463
1567,84532.6289947264
1568,223426.7036352155
1569,145033.2906314225
1570,128382.68663648392
1571,117132.91633190417
1572,143951.8193421513
1573,260265.54523260726
1574,128539.4224509065
1575,221492.3901152706
1576,230014.67170302392
1577,196197.213241211
1578,149084.01010031742
1579,139284.02016151152
1580,192185.23645259454
1581,153842.48640388754
1582,131312.97963123527
1583,314763.25524758454
1584,230828.1859512456
1585,138498.0489823999
1586,81262.6060681079
1587,105187.78606461258
1588,150565.40162226636
1589,101751.8280377548
1590,129899.60371220263
1591,92635.3316875557
1592,122739.5991263108
1593,134217.37192870144
1594,133981.9089116692
1595,115794.83028604552
1596,230185.32866124195
1597,175411.58310713022
